image,path,uncertainty
0000103_00180_d_0000026.jpg,data\drifted\fog\val\images\0000103_00180_d_0000026.jpg,1.0
0000103_04948_d_0000035.jpg,data\drifted\fog\val\images\0000103_04948_d_0000035.jpg,0.7385
0000313_07001_d_0000471.jpg,data\drifted\fog\val\images\0000313_07001_d_0000471.jpg,0.6977
0000103_02544_d_0000029.jpg,data\drifted\fog\val\images\0000103_02544_d_0000029.jpg,0.6861
0000021_00500_d_0000002.jpg,data\drifted\fog\val\images\0000021_00500_d_0000002.jpg,0.6479
0000021_00800_d_0000003.jpg,data\drifted\fog\val\images\0000021_00800_d_0000003.jpg,0.6248
0000055_00000_d_0000109.jpg,data\drifted\fog\val\images\0000055_00000_d_0000109.jpg,0.6209
0000055_00714_d_0000110.jpg,data\drifted\fog\val\images\0000055_00714_d_0000110.jpg,0.6196
0000364_01569_d_0000781.jpg,data\drifted\fog\val\images\0000364_01569_d_0000781.jpg,0.6186
0000024_00500_d_0000013.jpg,data\drifted\fog\val\images\0000024_00500_d_0000013.jpg,0.6181
0000364_00589_d_0000798.jpg,data\drifted\fog\val\images\0000364_00589_d_0000798.jpg,0.6155
0000001_04527_d_0000008.jpg,data\drifted\fog\val\images\0000001_04527_d_0000008.jpg,0.6152
0000291_00001_d_0000868.jpg,data\drifted\fog\val\images\0000291_00001_d_0000868.jpg,0.6142
0000081_00000_d_0000001.jpg,data\drifted\fog\val\images\0000081_00000_d_0000001.jpg,0.6124
0000022_00500_d_0000005.jpg,data\drifted\fog\val\images\0000022_00500_d_0000005.jpg,0.6106
0000001_07999_d_0000012.jpg,data\drifted\fog\val\images\0000001_07999_d_0000012.jpg,0.6092
0000024_00000_d_0000012.jpg,data\drifted\fog\val\images\0000024_00000_d_0000012.jpg,0.6085
0000086_01954_d_0000005.jpg,data\drifted\fog\val\images\0000086_01954_d_0000005.jpg,0.6077
0000193_02416_d_0000116.jpg,data\drifted\fog\val\images\0000193_02416_d_0000116.jpg,0.6009
0000022_01036_d_0000006.jpg,data\drifted\fog\val\images\0000022_01036_d_0000006.jpg,0.5979
0000115_00796_d_0000081.jpg,data\drifted\fog\val\images\0000115_00796_d_0000081.jpg,0.5953
0000276_05601_d_0000535.jpg,data\drifted\fog\val\images\0000276_05601_d_0000535.jpg,0.5939
0000193_02606_d_0000117.jpg,data\drifted\fog\val\images\0000193_02606_d_0000117.jpg,0.5889
0000022_00000_d_0000004.jpg,data\drifted\fog\val\images\0000022_00000_d_0000004.jpg,0.588
0000023_00000_d_0000008.jpg,data\drifted\fog\val\images\0000023_00000_d_0000008.jpg,0.588
0000364_01765_d_0000782.jpg,data\drifted\fog\val\images\0000364_01765_d_0000782.jpg,0.5869
0000244_01500_d_0000004.jpg,data\drifted\fog\val\images\0000244_01500_d_0000004.jpg,0.5861
0000023_00300_d_0000009.jpg,data\drifted\fog\val\images\0000023_00300_d_0000009.jpg,0.5836
0000103_02964_d_0000030.jpg,data\drifted\fog\val\images\0000103_02964_d_0000030.jpg,0.5831
0000162_00401_d_0000001.jpg,data\drifted\fog\val\images\0000162_00401_d_0000001.jpg,0.5818
0000162_01058_d_0000001.jpg,data\drifted\fog\val\images\0000162_01058_d_0000001.jpg,0.5806
0000364_01373_d_0000780.jpg,data\drifted\fog\val\images\0000364_01373_d_0000780.jpg,0.58
0000193_01497_d_0000111.jpg,data\drifted\fog\val\images\0000193_01497_d_0000111.jpg,0.5797
0000086_01443_d_0000004.jpg,data\drifted\fog\val\images\0000086_01443_d_0000004.jpg,0.579
0000242_06452_d_0000018.jpg,data\drifted\fog\val\images\0000242_06452_d_0000018.jpg,0.5778
0000213_02500_d_0000240.jpg,data\drifted\fog\val\images\0000213_02500_d_0000240.jpg,0.5776
0000291_03201_d_0000884.jpg,data\drifted\fog\val\images\0000291_03201_d_0000884.jpg,0.5751
0000021_00000_d_0000001.jpg,data\drifted\fog\val\images\0000021_00000_d_0000001.jpg,0.5748
0000276_04601_d_0000530.jpg,data\drifted\fog\val\images\0000276_04601_d_0000530.jpg,0.5724
0000356_02941_d_0000644.jpg,data\drifted\fog\val\images\0000356_02941_d_0000644.jpg,0.5718
0000276_05801_d_0000536.jpg,data\drifted\fog\val\images\0000276_05801_d_0000536.jpg,0.5706
0000001_03999_d_0000007.jpg,data\drifted\fog\val\images\0000001_03999_d_0000007.jpg,0.5704
0000154_00801_d_0000001.jpg,data\drifted\fog\val\images\0000154_00801_d_0000001.jpg,0.5698
0000024_01000_d_0000014.jpg,data\drifted\fog\val\images\0000024_01000_d_0000014.jpg,0.5687
0000194_00625_d_0000122.jpg,data\drifted\fog\val\images\0000194_00625_d_0000122.jpg,0.5683
0000086_00592_d_0000002.jpg,data\drifted\fog\val\images\0000086_00592_d_0000002.jpg,0.5683
0000291_01401_d_0000875.jpg,data\drifted\fog\val\images\0000291_01401_d_0000875.jpg,0.5682
0000244_03500_d_0000008.jpg,data\drifted\fog\val\images\0000244_03500_d_0000008.jpg,0.5681
0000273_05601_d_0000466.jpg,data\drifted\fog\val\images\0000273_05601_d_0000466.jpg,0.5681
0000244_04000_d_0000009.jpg,data\drifted\fog\val\images\0000244_04000_d_0000009.jpg,0.5673
0000295_01400_d_0000028.jpg,data\drifted\fog\val\images\0000295_01400_d_0000028.jpg,0.5668
0000244_02500_d_0000006.jpg,data\drifted\fog\val\images\0000244_02500_d_0000006.jpg,0.565
0000086_01084_d_0000003.jpg,data\drifted\fog\val\images\0000086_01084_d_0000003.jpg,0.5648
0000276_04001_d_0000527.jpg,data\drifted\fog\val\images\0000276_04001_d_0000527.jpg,0.5643
0000193_02725_d_0000118.jpg,data\drifted\fog\val\images\0000193_02725_d_0000118.jpg,0.5632
0000116_00819_d_0000084.jpg,data\drifted\fog\val\images\0000116_00819_d_0000084.jpg,0.5632
0000291_00401_d_0000870.jpg,data\drifted\fog\val\images\0000291_00401_d_0000870.jpg,0.563
0000153_00401_d_0000001.jpg,data\drifted\fog\val\images\0000153_00401_d_0000001.jpg,0.5603
0000194_00399_d_0000121.jpg,data\drifted\fog\val\images\0000194_00399_d_0000121.jpg,0.5602
0000291_03801_d_0000887.jpg,data\drifted\fog\val\images\0000291_03801_d_0000887.jpg,0.5602
0000022_01251_d_0000007.jpg,data\drifted\fog\val\images\0000022_01251_d_0000007.jpg,0.5602
0000280_03001_d_0000627.jpg,data\drifted\fog\val\images\0000280_03001_d_0000627.jpg,0.5598
0000244_06388_d_0000014.jpg,data\drifted\fog\val\images\0000244_06388_d_0000014.jpg,0.5596
0000280_00801_d_0000616.jpg,data\drifted\fog\val\images\0000280_00801_d_0000616.jpg,0.5587
0000356_04705_d_0000653.jpg,data\drifted\fog\val\images\0000356_04705_d_0000653.jpg,0.5586
0000194_00200_d_0000120.jpg,data\drifted\fog\val\images\0000194_00200_d_0000120.jpg,0.557
0000359_00981_d_0000704.jpg,data\drifted\fog\val\images\0000359_00981_d_0000704.jpg,0.5568
0000277_00401_d_0000541.jpg,data\drifted\fog\val\images\0000277_00401_d_0000541.jpg,0.5567
0000289_01201_d_0000817.jpg,data\drifted\fog\val\images\0000289_01201_d_0000817.jpg,0.5567
0000291_00201_d_0000869.jpg,data\drifted\fog\val\images\0000291_00201_d_0000869.jpg,0.5566
0000154_02001_d_0000001.jpg,data\drifted\fog\val\images\0000154_02001_d_0000001.jpg,0.5549
